product_id	rating	review_text	source	review_id
noodle_001	5	생각보다 훨씬 맛있어서 깜짝 놀랐어요. 계속 재구매할 듯!	generated	rv5_g21
noodle_001	1	국물 맛이 너무 짜고 느끼해서 끝까지 먹기 힘들었어요.	generated	rv1_g1
noodle_001	4	깔끔한 멸치향이 좋고 국물 맛이 담백해서 만족스러웠어요.	generated	rv4_g16
noodle_001	2	가격 대비 괜찮지만 큰 감흥은 없었어요.	generated	rv2_g6
noodle_001	3	무난하게 한 끼로 먹기 좋았어요. 특별한 점은 없어요.	generated	rv3_g11
noodle_001	5	국물 맛이 깊고 깔끔해서 가족 모두 만족했습니다.	generated	rv5_g22
noodle_001	1	면이 쉽게 퍼지고 식감이 별로였습니다. 다시 사지 않을 듯해요.	generated	rv1_g2
noodle_001	4	배송도 빠르고 맛도 전체적으로 괜찮았어요.	generated	rv4_g17
noodle_001	2	면 식감이 생각보다 가벼워서 호불호가 있을 것 같아요.	generated	rv2_g7
noodle_001	3	간단하게 먹기에는 괜찮지만 맛이 강하진 않네요.	generated	rv3_g12
noodle_001	5	언제 먹어도 맛있는 간편식이라 집에 쟁여두고 있어요.	generated	rv5_g23
noodle_001	1	기대하고 샀는데 향이 너무 강해 제 입맛과 전혀 안 맞았어요.	generated	rv1_g3
noodle_001	4	면발이 가볍고 국물 맛이 시원해서 자주 찾을 것 같아요.	generated	rv4_g18
noodle_001	2	적당히 먹을 만하지만 재구매 의사는 잘 모르겠어요.	generated	rv2_g8
noodle_001	3	포장은 깔끔했고 유통기한도 넉넉했어요.	generated	rv3_g13
noodle_001	5	멸치향도 진하고 조리도 간단해서 최고예요.	generated	rv5_g24
noodle_001	1	포장이 손상된 상태로 도착해 기분이 좋지 않았습니다.	generated	rv1_g4
noodle_001	4	가성비 좋은 간편식으로 추천할 만합니다.	generated	rv4_g19
noodle_001	2	국물이 조금 싱거워서 간을 더 해야 맛있었어요.	generated	rv2_g9
noodle_001	3	가끔 생각날 정도의 맛이에요. 평범한 느낌.	generated	rv3_g14
noodle_001	5	양도 푸짐하고 맛도 좋아 캠핑용으로도 딱입니다.	generated	rv5_g25
noodle_001	1	설명과는 다르게 맛이 밋밋하고 양도 적어 아쉬웠어요.	generated	rv1_g5
noodle_001	4	짭짤하고 시원한 국물이 입맛에 잘 맞았어요.	generated	rv4_g20
noodle_001	2	먹을 만했지만 다른 맛이 더 나을 것 같다는 생각이 드네요.	generated	rv2_g10
noodle_001	3	기대보다도 덜 자극적이라 편하게 먹었어요.	generated	rv3_g15
noodle_001	5	처음먹어보는데 양도많고 맛있어요 고기랑 청양고추 추가해서 먹으니 더 좋아요.	real	rv5_1
noodle_001	1	재구매젖가락좀 달라라여~~~ 원래안주는거면 얘기를 하던가~~~~~~~~ 개짜증나네~~~~~~	real	rv1_1
noodle_001	4	배송빠르고 유통기한도 넉넉하네요. 잘 먹을께요.	real	rv4_1
noodle_001	2	배송이겁나게느려터졌내요.	real	rv2_1
noodle_001	3	재구매 제품 유통기한이 넉넉해서 좋아요.	real	rv3_1
noodle_001	5	추운 날씨에 뜨끈한 국물이 좋아서 구매했습니다. 맛있어요.	real	rv5_2
noodle_001	1	맒금한데 느끼해요 ㅎㅎ	real	rv1_2
noodle_001	4	괜찮아요 만족 만족	real	rv4_2
noodle_001	2	김치멋은 생각보다 별로네요 다른건 다 맛있는데..	real	rv2_2
noodle_001	3	확실히 소화가 더 잘되는것같아요.	real	rv3_2
noodle_001	5	깔끔해서 자주 먹었는데 인터넷으로 저렴하게 구매하게 됐습니다.	real	rv5_3
noodle_001	1	맛이 별루임 내 입맛에는 별루입니다	real	rv1_3
noodle_001	4	사랑하는 제품 왕추천	real	rv4_3
noodle_001	2	성인이먹기에는 아주 맛있어요. 애기주려고샀는데 조금맵나봐요.	real	rv2_3
noodle_001	3	멸치쌀국수를 주문했는데 육개장쌀국수가 왔네요.	real	rv3_3
noodle_001	5	출출할 때 먹으면 가볍고 좋고, 면을 오래 두면 더 부드러워져요.	real	rv5_4
noodle_001	1	저번에도 나무젓가락 보내주지말라했는데 보내주더니 이번에도 또 보내주네요. 요청사항 확인좀 하세요.	real	rv1_4
noodle_001	4	배송 중 박스가 찌그러졌지만 먹는 데는 문제 없었어요.	real	rv4_4
noodle_001	2	포장까지 뽀개져서 왔구요. 맛도 그닥입니다 다시 주문은 않을거 같아요.	real	rv2_4
noodle_001	3	면이 너무 잘 퍼지는 느낌이라 아쉬웠어요.	real	rv3_4
noodle_001	5	간편 국수에 빠져 대량구매를 했습니다. 다양하게 골라먹기 좋아요.	real	rv5_5
noodle_001	1	쌀국수에 속고 싼가격에 속았네요. 쌀반 밀가루반. 쌀도 수입산. 엄청짜서 집에서 육수내서 국수만 먹어야겠어요.	real	rv1_5
noodle_001	4	즐겨먹는 쌀국수.. 저녁야식에도 좋아요.	real	rv4_5
noodle_001	2	쌀국수 면발이 예상과 달라서 아쉬웠고 국물도 짜요.	real	rv2_5
noodle_001	3	가성비 넘 맛 있고 좋아요.	real	rv3_5
