product_id	rating	review_text	source	review_id
monitor_001	5	1.배송방법: 벽걸이 기사방문설치(고정형브라켓 포함) / 2.지역: 지방 / 3.제품선택: ★무료업 QLED 블랙★  친정,시댁,동생집까지 줄줄이 이사라서 선물했어요~ 가성비 최고의 티비입니다! 화질도 훌륭하고  설치기사님 친절하셔서 기분좋게 물건 사용하겠습니다	real	rv5_r1
monitor_001	1	1.배송방법: 본사직배송 / 2.지역: 수도권 / 3.제품선택: 블랙  주거형태30평대신혼/부부  배송 최악  4일 배송 이라며서 제고 없으니 들어오면 알려준다는 쳇만 보냄  고객센터 전화 계속 대기,  통화 실패   15일 만에 받음  제품은 실망해서 그런지 싼게 비지떡 비추, 화질 별로, 조잡한 외관  LG 삼성 사세요	real	rv1_r21
monitor_001	4	1.배송방법: 본사직배송 / 2.지역: 수도권 / 3.제품선택: ★QLED 블랙★-11/2주차 출고  배송 일주일 걸리고, 화질은 가격만큼 하네요.	real	rv4_r6
monitor_001	2	1.배송방법: 티비거치대설치(★추가옵션 거치대 구매필수★) / 2.지역: 수도권 / 3.제품선택: 블랙  오래 기다려서 배송 받았눈데.. 설치하자마자 ㅎ하면이 안 나와서 설치일정 다시 조정하고.. 좀 힘들었어요..   그래도 배송해 주신 기사분은 친절하시고 좋았습니다. 에너지환급 신청은 가능합니다용	real	rv2_r16
monitor_001	3	1.배송방법: 본사직배송 / 2.지역: 수도권 / 3.제품선택: ★무료업 QLED 블랙★  주거형태20평대신혼/부부  한달사용결혼 하기 전부터 이노수 티비 쓰고 있었는데 결혼 해서도 이노스네요!! ㅋㅋ화이트베젤 안산게 후회스럽지만 만족합니당 ^^	real	rv3_r11
monitor_001	5	1.배송방법: 본사직배송 / 2.지역: 수도권 / 3.제품선택: ★QLED 블랙★  한달사용사이즈도 딱 좋고.. 화질도 만족합니다.!  정말 이가격에 산 제품이 맞나 싶습니다.!!! 보면볼수록 더욱 만족되는 TV입니다. 영화볼땐.. 정말 그 진갈르 더 발휘해서.. 원래도 집에서 영화보는걸 좋아하는데 더 좋아하게 되었습니다~ 야구볼때도 좋아요~	real	rv5_r2
monitor_001	1	1.배송방법: 벽걸이 기사방문설치(고정형브라켓 포함) / 2.지역: 수도권 / 3.제품선택: ★QLED 블랙★  설치 너무 오래걸리고 설치기사님 진짜...   재료가 없다는고 다음에 오신다더니 출장비 다시 나온다는 말듣고 너무 어이없었고 심지어 본사에전화해보니 출장비가 본사에서 부르는 출장비랑 다름...  만원 더 부르시던데 이게 맞나... 아무리 중소기업이라해도 십만원돈 더해서 설치 부른건데. 서비스 망...	real	rv1_r22
monitor_001	4	1.배송방법: 본사직배송 / 2.지역: 수도권 / 3.제품선택: 블랙-11/2주차 출고  장모님댁에 TV가 고장나서 바꿔드렸습니다   화질 괜찮고 대체적으로 맘에 들어하십니다.  배송은 2주정도 걸렸습니다	real	rv4_r7
monitor_001	2	1.배송방법: 본사직배송(고객직접설치) / 2.지역: 수도권(서울경기인천) / 3.제품선택 및 옵션 총금액: S6501KU 안드로이드TV LG패널  기본구성이 없어서 고객센터에 연락했는데  주소를 고객센터에서 잘못적어 다른집배송했음..그걸모르고 배송기사가 잘못배송한줄알고 다시 고객센터에 연락함.. 다시 배송했는데 뭐임??? 또 다시 잘못적은(제가 그런게 아님 배송센터?이노스) 집으로 배송했다는...  첫번째 다른집으로 간거 배송기사가 3일만에찾아옴 ㅋ 애초에 호수가 잘못됏엇음  두번째도 도착 문자가 왔는데 또 안와서 배송기사한테 부탁함 혹시 그집에 또 갔나싶어..  또 첫번째 집으로 갔음 ㅋ  뭐 이래저래 받았지만 도대체 몇번을 전화했는데 주소도 확인안하고 그냥 또 잘못된주소로 보내요??  제가 잘못적엇는줄;;;, 티비는 제대로 왔구만  주소도 제대로 적었던대 ㅋ  아무튼 우여곡절 끝에 받아서 설치는 했지만  고객센터며 배송센터며 참... 확인 좀 하세요  티비는 잘 나옵니다	real	rv2_r17
monitor_001	3	1.배송방법: 본사직배송 / 2.지역: 수도권 / 3.제품선택: ★QLED 블랙★  배송예정일에 아무 연락 없이 배송이 오지 않은거 외에는 현재까지는 괜찮은듯 합니다.	real	rv3_r12
