product_id	question	answer	source	qna_id
noodle_001	여러가지 맛으로 구매했는데 제 취향이 아닌걸 다른 맛으로 교환하고 싶어요. 어떻게 연락드리면 될까요? 멸치맛 4개, 얼큰한 맛 9개를 김치맛 10개, 파곰탕맛 3개로 교환하고 싶어요	네~고객님 교환신청 해주시면 됩니다. 교환시 왕복 택배비 부과됩니다. 감사합니다.	real	qna_r1
noodle_001	제조일이 아래하단보니까 2021년기준으로 되있는데 오늘주문하면 제조일이 어떻게 되나요? 아니면 유통기한으로 말씀부탁드립니다~	제조일은 25년 2월~3월이내 / 유통기한은 18개월입니다.	real	qna_r2
noodle_001	스티로폼 용기 말고 비닐 포장 제품은 출시 계획이 있나요?	네~고객님 관심주셔서 감사합니다. 본사에 의견 전달하겠습니다 ^^	real	qna_r3
noodle_001	일월풍면 김치쌀국수는 언제 재입고 되나요?	네~고객님 일월풍면김치쌀국수는 단종되어서 더이상 생산이 안됩니다.	real	qna_r4
noodle_001	멸치맛, 파곰탕면, 우리쌀떡국 유통기한이 어떻게 되나요?	가장 최근 생산된 제품을 보내드리고 있으며, 쌀국수 유통기한은 제조일로부터 18개월, 떡국은 8개월입니다.	real	qna_r5
noodle_001	전자레인지로 조리해도 되나요?	전자레인지 조리는 권장하지 않으며, 끓는 물을 사용하는 일반 조리 방식이 가장 맛있게 드실 수 있습니다.	generated	qna_g1
noodle_001	맵기 정도가 강한가요? 아이들도 먹을 수 있을까요?	멸치맛은 매우 순한 편이라 아이들도 부담 없이 드실 수 있습니다. 얼큰한맛은 매운맛이 있어 아이들에게는 추천드리지 않습니다.	generated	qna_g2
noodle_001	포장 훼손 시 교환이 가능할까요?	배송 중 파손된 경우 사진을 첨부해 문의 주시면 확인 후 교환 도와드리고 있습니다.	generated	qna_g3
noodle_001	채식주의자도 먹을 수 있는 맛이 있나요?	멸치·파곰탕 등 일부 제품은 동물성 원료가 포함되어 있으나, 채식 기반 제품 출시도 검토 중입니다.	generated	qna_g4
noodle_001	상품 구성은 어떻게 되어 있나요?	면, 수프 구성으로 되어 있으며 제품별 부가 구성은 상세페이지를 참고 부탁드립니다.	generated	qna_g5
