product_id	question	answer	source	qna_id
monitor_001	주문할려고 하는데, 일반하고, QLED 옵션이 있는데, 차이가 무엇인가요???	안녕하세요 이노스TV입니다.  https://youtu.be/sKEjmOxuw7E  영상 참조 부탁드립니다.  색재현율에 양 모델의 차이가 있습니다.  더 궁금하신 사항이 있으시면 언제든 문의 주시기 바랍니다.  [배송현황조회] https://innosas.co.kr/bbs/login_as.php?service_type=delivery  [AS서비스접수] https://innosas.co.kr/  [자주하는 질문과답변 및 TV활용방법] https://blog.naver.com/allin-com	real	qna_r1
monitor_001	구매할려고 하는데, 패널은 어디제품인가요???	안녕하세요 이노스입니다.  문의하신 제품의 패널은 VA 패널입니다.  그 밖에 궁금하신 사항이 있으시면 언제든 문의 주시기 바랍니다.	real	qna_r2
monitor_001	익일배송완료 된다는 문구보고 일정 조절했는데 운송장 확인해보니 주문접수됐다고만 나와서요. 주문 다음날 받을수있는거 맞나요? 오후3시이전 주문했습니다.	안녕하세요 이노스TV입니다.  지방의 경우 5일 이내 배송으로 서비스가 이루어지고 있습니다.  일정관련 빠른 해피콜 드릴 수 있도록 하겠습니다.  더 궁금하신 사항이 있으시면 언제든 문의 주시기 바랍니다.	real	qna_r3
monitor_001	안녕하세요. 이전에 구입했는데 아이들이 TV 액정에 기스를 냈어요. 뭔가 뾰족한 걸로 색칠하듯이 ㅡㅡ이거수리되나요 비용은요~?	안녕하세요 이노스입니다.  안타깝게도 패널 손상의 경우 수리 비용이 새 제품 구매가보다 높게 책정됨에 따라  수리를 권장하고 있지 않은 점 양해 부탁드립니다.	real	qna_r4
monitor_001	폐가전 수거 가능하신가요?  폐가전 이노스65인치 스마트tv입니다	안녕하세요 이노스TV입니다.  폐가전수거는 따로 진행하고 있지 않으며 각 지자체별로 운영중인 폐가전무상수거 서비스(1599-0903) 로 접수해주시면 수거진행이 가능합니다.	real	qna_r5
monitor_001	벽걸이 설치가 가능한가요?	안녕하세요 이노스TV입니다.  네, 벽걸이 설치가 가능합니다. 고정형 브라켓 또는 상하좌우 브라켓 옵션을 선택하실 수 있으며, 전문 기사가 방문하여 설치해드립니다.  추가적인 문의 있으실 경우 언제든 문의 주시기 바랍니다.	generated	qna_g1
monitor_001	구글TV와 안드로이드TV 차이가 무엇인가요?	안녕하세요 이노스TV입니다.  구글TV는 구글의 최신 TV 플랫폼으로, 안드로이드TV보다 더 개선된 인터페이스와 기능을 제공합니다. 둘 다 유튜브, 넷플릭스 등 OTT 서비스를 이용할 수 있습니다.  더 궁금하신 사항이 있으시면 언제든 문의 주시기 바랍니다.	generated	qna_g2
monitor_001	배송 기간이 얼마나 걸리나요?	안녕하세요 이노스TV입니다.  수도권의 경우 평일 15시 이전 주문 시 당일 출고되며, 지방의 경우 5일 이내 배송이 이루어집니다. 배송 현황은 홈페이지에서 확인하실 수 있습니다.  더 궁금하신 사항이 있으시면 언제든 문의 주시기 바랍니다.	generated	qna_g3
monitor_001	사운드바 연결이 가능한가요?	안녕하세요 이노스TV입니다.  네, HDMI ARC 또는 광출력 포트를 통해 사운드바 연결이 가능합니다. 다만 일부 사운드바와 호환이 안 될 수 있으니 구매 전 확인 부탁드립니다.  더 궁금하신 사항이 있으시면 언제든 문의 주시기 바랍니다.	generated	qna_g4
monitor_001	에너지 환급 신청은 어떻게 하나요?	안녕하세요 이노스TV입니다.  에너지 환급 신청은 구매 후 고객센터로 문의하시면 안내해드립니다. 필요한 서류를 준비하여 신청하시면 됩니다.  더 궁금하신 사항이 있으시면 언제든 문의 주시기 바랍니다.	generated	qna_g5
