product_id	question	answer	source	qna_id
blanket_001	첫사용전 세탁 해야 되는가요?	안녕하세요! Always by your side, 오넬로이 입니다.  제품 수령 후 단독 세탁 하신 뒤 사용 부탁드립니다.  세탁기 사용 시 이불전용 세탁망을 사용하여 중성세제. 울코스 또는 이불코스로 찬물 단독 세탁 권장 드립니다.  건조기 사용 시 저온으로 건조하시되 제품 변형이 있을 수 있으니 자연건조 권장 드립니다.  추가적인 문의 있으실 경우 톡톡으로 문의 주시면 안내 드리겠습니다  오늘도 즐거운 하루 보내세요 감사합니다 : )	real	qna_r1
blanket_001	사은품 사쉐는 별도 구매가능힌가요?	안녕하세요! Always by your side, 오넬로이 입니다.  네 고객님 사쉐 상품은 판매되고 있지 않아 별도 구매 불가하신점 양해 부탁드립니다  추가적인 문의 있으실 경우 톡톡으로 문의 주시면 확인 후 안내 드리겠습니다  오늘도 즐거운 하루 보내세요 감사합니다 : )	real	qna_r2
blanket_001	헬렌, 잔느 등등 4가지의 도톰한 정도로 순위를 나열해주실 수 있나요? 겨울용 이불이 필요해서요 추가적으로 지정일 배송이 가능한가요?	안녕하세요! Always by your side, 오넬로이 입니다.  에코, 헬렌 8온스 / 잔느, 다프네 7온스로 제작 되고 있습니다.  헬렌(극세사) 제외 모두 사계절용으로 제작되었으며 겨울용 이불로 헬렌(극세사) 권장 드립니다  평일 기준 15시 이전 결제 완료시 당일 출고되는 시스템으로 지정일 배송은 어려운점 양해 부탁드립니다  출고 이후 택배 이동으로 1~3일 시간 소요 걸리는 점 참고 후 구매 부탁드립니다  추가적인 문의 있으실 경우 톡톡으로 문의 주시면 안내 드리겠습니다  오늘도 즐거운 하루 보내세요 감사합니다 : )	real	qna_r3
blanket_001	에코와 다프네 중 뭐가 더 도톰한가용??	안녕하세요! Always by your side, 오넬로이 입니다.  네 고객님 에코 입니다  에코 8온스, 다프네 7온스 제작되는 점 참고 부탁드립니다  추가적인 문의 있으실 경우 톡톡으로 문의 주시면 안내 드리겠습니다  오늘도 즐거운 하루 보내세요 감사합니다 : )	real	qna_r4
blanket_001	이게 어떻게 사계절용 이불이죠?  이전에 여름에 여름이불이라고 되어있던 페이지에서 샀었는데, 겨울이불이라고 되어있는 페이지가 새로 보여서 뭐지 했는데 제목만 바꾼거였네..  제가 이거 쓰다가 너무 얇아서 추워가지고 겨울이불 찾고있는건데...ㅋㅋ	안녕하세요! Always by your side, 오넬로이 입니다.  문의주신 에코 이불은 사계절 모두 사용 가능한 중간 이불로 제작 되었습니다.  다만 체감 보온도는 사용하시는 환경 실내 온도, 개인 체온 등에 따라 다르게 느껴질 수 있는 점 양해 부탁드립니다  오늘도 즐거운 하루 보내세요 감사합니다 :)	real	qna_r5
blanket_001	이불 색상이 화면과 다르면 교환 가능한가요?	안녕하세요! Always by your side, 오넬로이 입니다.  네, 제품 수령 후 7일 이내에 미사용 상태에서 교환이 가능합니다. 색상 교환을 원하시는 경우 고객센터로 문의 부탁드립니다.  추가적인 문의 있으실 경우 톡톡으로 문의 주시면 안내 드리겠습니다  오늘도 즐거운 하루 보내세요 감사합니다 : )	generated	qna_g1
blanket_001	이불 크기별 차이가 있나요?	안녕하세요! Always by your side, 오넬로이 입니다.  네, S, Q, K 사이즈별로 크기가 다르게 제작됩니다. 침대 크기에 맞는 사이즈를 선택하시면 됩니다.  추가적인 문의 있으실 경우 톡톡으로 문의 주시면 안내 드리겠습니다  오늘도 즐거운 하루 보내세요 감사합니다 : )	generated	qna_g2
blanket_001	알러지가 있는데 사용해도 되나요?	안녕하세요! Always by your side, 오넬로이 입니다.  헬렌 제품은 알러지케어용으로 제작되어 민감한 피부를 가진 분들도 사용하실 수 있습니다. 다만 개인차가 있을 수 있으니 사용 전 테스트를 권장드립니다.  추가적인 문의 있으실 경우 톡톡으로 문의 주시면 안내 드리겠습니다  오늘도 즐거운 하루 보내세요 감사합니다 : )	generated	qna_g3
blanket_001	세탁 후 형태가 변형되나요?	안녕하세요! Always by your side, 오넬로이 입니다.  세탁망에 넣어 울코스로 세탁하시면 형태 변형이 최소화됩니다. 건조 시에는 자연건조를 권장드리며, 건조기 사용 시 저온으로 설정하여 사용하시기 바랍니다.  추가적인 문의 있으실 경우 톡톡으로 문의 주시면 안내 드리겠습니다  오늘도 즐거운 하루 보내세요 감사합니다 : )	generated	qna_g4
blanket_001	이불 보관 방법이 궁금해요	안녕하세요! Always by your side, 오넬로이 입니다.  보관 시에는 통풍이 잘 되는 곳에 보관하시고, 습기가 많은 곳은 피하시기 바랍니다. 장기 보관 시에는 이불 전용 보관백에 넣어 보관하시면 좋습니다.  추가적인 문의 있으실 경우 톡톡으로 문의 주시면 안내 드리겠습니다  오늘도 즐거운 하루 보내세요 감사합니다 : )	generated	qna_g5
